PlayerName,CourseName,LayoutName,StartDate,EndDate,Total,+/-,RoundRating,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24,Hole25,Hole26,Hole27
Par,Weston Park Disc Golf Course,White Tees ,2025-12-28 0553,2025-12-28 0710,59,,,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3,3,3,4,,,,,,,,,
ArmyGeddon,Weston Park Disc Golf Course,White Tees ,2025-12-28 0553,2025-12-28 0710,60,1,171,3,3,2,2,5,4,3,6,3,3,4,3,3,3,3,3,2,5,,,,,,,,,
Youare22,Weston Park Disc Golf Course,White Tees ,2025-12-28 0553,2025-12-28 0710,67,8,136,3,3,4,2,5,3,3,5,3,4,4,4,4,4,4,4,3,5,,,,,,,,,
Par,Eddison Park,2019 Blue Tees,2025-12-22 0349,2025-12-22 0513,62,,,3,3,4,3,3,3,3,3,3,4,5,3,4,4,3,4,3,4,,,,,,,,,
ArmyGeddon,Eddison Park,2019 Blue Tees,2025-12-22 0349,2025-12-22 0513,63,1,187,3,3,4,3,2,2,3,3,4,4,5,3,4,5,3,4,3,5,,,,,,,,,
Jobby,Eddison Park,2019 Blue Tees,2025-12-22 0349,2025-12-22 0513,70,8,150,4,2,5,3,3,3,3,3,3,6,5,3,5,5,4,6,3,4,,,,,,,,,
Par,John Knight Memorial Park,Public Layout (A-Pin Position),2025-12-19 2045,2025-12-19 2149,56,,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,
ArmyGeddon,John Knight Memorial Park,Public Layout (A-Pin Position),2025-12-19 2045,2025-12-19 2149,46,-10,197,2,2,2,3,3,2,3,2,2,3,3,3,2,3,3,3,3,2,,,,,,,,,
Jobby,John Knight Memorial Park,Public Layout (A-Pin Position),2025-12-19 2045,2025-12-19 2149,52,-4,163,2,3,3,3,2,3,4,3,3,2,3,2,4,3,2,3,3,4,,,,,,,,,
Par,Eddison Park,2019 Blue Tees,2025-12-12 2048,2025-12-12 2224,62,,,3,3,4,3,3,3,3,3,3,4,5,3,4,4,3,4,3,4,,,,,,,,,
ArmyGeddon,Eddison Park,2019 Blue Tees,2025-12-12 2048,2025-12-12 2224,62,0,192,3,2,4,3,2,3,3,4,4,4,5,3,4,4,3,4,3,4,,,,,,,,,
Jobby,Eddison Park,2019 Blue Tees,2025-12-12 2048,2025-12-12 2224,70,8,150,3,3,5,2,3,4,3,3,3,3,5,4,6,5,4,5,3,6,,,,,,,,,
Youare22,Eddison Park,2019 Blue Tees,2025-12-12 2048,2025-12-12 2224,71,9,145,3,3,3,3,3,4,2,5,4,4,5,3,4,6,5,6,3,5,,,,,,,,,
Par,John Knight Memorial Park,Public Layout (A-Pin Position),2025-12-05 2040,2025-12-05 2151,56,,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,
ArmyGeddon,John Knight Memorial Park,Public Layout (A-Pin Position),2025-12-05 2040,2025-12-05 2151,48,-8,189,2,2,3,2,3,2,3,4,2,3,3,2,3,3,2,4,3,2,,,,,,,,,
Jobby,John Knight Memorial Park,Public Layout (A-Pin Position),2025-12-05 2040,2025-12-05 2151,55,-1,150,2,2,2,3,3,4,3,3,4,2,3,3,4,3,4,4,4,2,,,,,,,,,
Par,Weston Park Disc Golf Course,White Tees ,2025-11-30 0053,2025-11-30 0207,59,,,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3,3,3,4,,,,,,,,,
ArmyGeddon,Weston Park Disc Golf Course,White Tees ,2025-11-30 0053,2025-11-30 0207,60,1,170,2,4,3,3,4,3,3,4,3,3,4,4,3,3,3,3,3,5,,,,,,,,,
Jobby,Weston Park Disc Golf Course,White Tees ,2025-11-30 0053,2025-11-30 0207,63,4,154,3,4,3,2,5,3,3,4,4,3,5,4,4,3,2,4,3,4,,,,,,,,,
Par,Eddison Park,2019 Blue Tees,2025-11-28 2121,2025-11-29 0703,62,,,3,3,4,3,3,3,3,3,3,4,5,3,4,4,3,4,3,4,,,,,,,,,
ArmyGeddon,Eddison Park,2019 Blue Tees,2025-11-28 2121,2025-11-29 0703,67,5,165,4,3,4,3,3,3,4,3,3,4,5,2,5,6,3,4,4,4,,,,,,,,,
Jobby,Eddison Park,2019 Blue Tees,2025-11-28 2121,2025-11-29 0703,67,5,165,2,3,4,4,3,3,3,2,3,4,5,4,5,5,5,5,3,4,,,,,,,,,
Youare22,Eddison Park,2019 Blue Tees,2025-11-28 2121,2025-11-29 0703,78,16,114,3,3,4,3,4,4,3,5,4,5,6,3,5,5,5,6,5,5,,,,,,,,,
Par,John Knight Memorial Park,Public Layout (A-Pin Position),2025-11-24 0600,2025-11-24 0652,56,,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,
ArmyGeddon,John Knight Memorial Park,Public Layout (A-Pin Position),2025-11-24 0600,2025-11-24 0652,51,-5,170,2,3,3,2,3,2,3,3,3,2,3,2,3,3,3,5,3,3,,,,,,,,,
Jobby,John Knight Memorial Park,Public Layout (A-Pin Position),2025-11-24 0600,2025-11-24 0652,51,-5,170,3,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,,,,,,,,,
Par,Eddison Park,2019 Blue Tees,2025-11-23 0511,2025-11-23 0652,62,,,3,3,4,3,3,3,3,3,3,4,5,3,4,4,3,4,3,4,,,,,,,,,
ArmyGeddon,Eddison Park,2019 Blue Tees,2025-11-23 0511,2025-11-23 0652,67,5,165,3,3,5,3,3,2,3,4,3,4,5,3,5,4,4,4,4,5,,,,,,,,,
Jobby,Eddison Park,2019 Blue Tees,2025-11-23 0511,2025-11-23 0652,69,7,155,3,3,4,3,3,3,3,4,3,5,6,3,5,6,2,5,3,5,,,,,,,,,
